site,url,title,word,count
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,press,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,release,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,india,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,professor,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,rama,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,sastry,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,work,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,program,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,indian,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,calendar,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,news,4
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,nirf,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,careers,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,independence,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,yoga,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,hon'ble,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,vice,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,president,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,congratulate,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,moa,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,january,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,biological,3
IISER_MOHALI,https://www.iisermohali.ac.in/,Home,earth,3
